country,penetration
Senegal,0.209
Serbia,0.570
Seychelles,0.504
Sierra Leone,0.017
Singapore,0.730
Slovakia,0.790
Slovenia,0.727
Solomon Islands,0.080
Somalia,0.015
South Africa,0.489
South America,0.547
S.George & S.Sandwich,n/a
South Sudan,0.000
Spain,0.748
Sri Lanka (ex-Ceilan),0.219
Sudan,0.227
Suriname,0.374
Svalbard & Jan Mayen Is.,n/a
Swaziland,0.247
Sweden,0.948
Switzerland,0.867
Syrian Arab Republic,0.262
Taiwan,0.800
Tajikistan,0.160
"Tanzania, United Rep. of",0.140
Thailand,0.297
Timor-Leste (East Timor),0.011
Togo,0.048
Tokelau,0.598
Tonga,0.350
Trinidad & Tobago,0.638
Tunisia,0.438
Turkey,0.463
Turkmenistan,0.096
Turks and Caicos Is.,0.301
Tuvalu,0.399
Uganda,0.162
Ukraine,0.418
United Arab Emirates,0.880
United Kingdom,0.898
United States,0.869
US Minor Outlying Isl.,n/a
Uruguay,0.581
Uzbekistan,0.382
Vanuatu,0.113
Vatican (Holy See),0.570
Venezuela,0.455
Viet Nam,0.439
"Virgin Islands, British",0.447
"Virgin Islands, U.S.",0.453
Wallis and Futuna,0.086
Western Sahara,n/a
Yemen,0.200
Zambia,0.154
Zimbabwe,0.185
World Total (Est.),0.409
,
